disposicion_literatura,disposicion_kepler,confianza_disposicion,columna_fpflag_nt,columna_fpflag_ss,columna_fpflag_co,columna_fpflag_ec,periodo_orbital,columna_period_err1,columna_period_err2,columna_time0bk,columna_time0bk_err1,columna_time0bk_err2,columna_impact,columna_impact_err1,columna_impact_err2,duracion_transito,columna_duration_err1,columna_duration_err2,profundidad_transito,columna_depth_err1,columna_depth_err2,radio_planeta,columna_prad_err1,columna_prad_err2,columna_teq,columna_insol,columna_insol_err1,columna_insol_err2,columna_model_snr,columna_tce_plnt_num,temperatura_estrella,columna_steff_err1,columna_steff_err2,gravedad_superficial,columna_slogg_err1,columna_slogg_err2,radio_estrella,columna_srad_err1,columna_srad_err2,ascension_recta,declinacion,magnitud_kepler
CONFIRMED,CANDIDATE,0.811,0,0,0,0,0.000017,0,1,0.001662,0,1,0.008115,0.000012,0.999983,0.012212,0.000053,0.999947,0.009233,0.000011,0.999989,0.000065,0.000024,0.999993,0.089742,0.00007,0.000029,0.999983,0.475366,0,0.238685,0.115385,0.955732,0.829415,0.016304,0.980116,0.003721,0.001148,0.999673,0.318078,0.808384,11.338
CONFIRMED,CANDIDATE,1,0,1,0,0,0.000015,0,1,0.000623,0.000012,0.999988,0.002222,0.001859,0.996359,0.027704,0.0001,0.9999,0.00433,0.000004,0.999996,0.00008,0.000037,0.999988,0.138164,0.000379,0.00018,0.999883,0.656664,0,0.285531,0.112426,0.949489,0.747038,0.022418,0.97763,0.00802,0.002992,0.999053,0.566789,0.722914,10.463
CONFIRMED,CANDIDATE,0.998,0,0,0,0,0.000025,0,1,0.000446,0.000067,0.999933,0.00626,0.000082,0.999882,0.02272,0.000323,0.999677,0.005933,0.000017,0.999983,0.000072,0.000051,0.999986,0.102172,0.000116,0.000085,0.999951,0.192331,0,0.269286,0.16568,0.922247,0.775249,0.037364,0.962717,0.00584,0.003324,0.999053,0.065639,0.372729,13.563
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000027,0.000041,0.999959,0.009961,0.002497,0.997503,0.000506,0.004618,0.99914,0.018617,0.002114,0.997886,0.000085,0.000008,0.999992,0.000005,0.000008,0.999998,0.080658,0.000046,0.000055,0.999977,0.005588,0.142857,0.239668,0.155325,0.933598,0.820011,0.057745,0.905551,0.003973,0.004321,0.999079,0.722332,0.756295,12.772
'FALSE POSITIVE','FALSE POSITIVE',0,0,1,0,0,0.000087,0.000012,0.999988,0.037222,0.000214,0.999786,0.024631,0.033329,0.988655,0.025908,0.000564,0.999436,0.011667,0.000082,0.999918,0.000751,0.001837,0.999828,0.04972,0.000007,0.000016,0.999996,0.068705,0,0.236796,0.22929,0.902384,0.847658,0.022418,0.854184,0.003216,0.006769,0.999354,0.78778,0.699301,15.472
'FALSE POSITIVE','FALSE POSITIVE',0,0,1,0,0,0.000147,0.000122,0.999878,0.038438,0.001464,0.998536,0.007976,0.000082,0.999916,0.087831,0.00296,0.99704,0.005786,0.000137,0.999863,0.000035,0.000035,0.999991,0.034012,0.000002,0.000002,0.999999,0.023711,0,0.179977,0.223373,0.914302,0.854617,0.048913,0.960232,0.002485,0.002176,0.99944,0.430102,0.701707,15.487
'FALSE POSITIVE','FALSE POSITIVE',0,0,1,0,0,0.000146,0.000006,0.999994,0.047364,0.000063,0.999937,0.010565,0.000362,0.999427,0.034273,0.000116,0.999884,0.048193,0.000056,0.999944,0.000246,0.000741,0.999935,0.045964,0.000005,0.000015,0.999997,0.255889,0,0.261126,0.269231,0.886493,0.83675,0.035326,0.827672,0.003647,0.009308,0.999173,0.729915,0.705199,15.341
'FALSE POSITIVE','FALSE POSITIVE',0,0,1,0,0,0.000125,0.000081,0.999919,0.044649,0.001079,0.998921,0.002897,0.001379,0.998297,0.067773,0.00297,0.99703,0.006798,0.000103,0.999897,0.000039,0.000041,0.999988,0.038929,0.000003,0.000003,0.999998,0.033507,0,0.188213,0.248521,0.913167,0.8407,0.059783,0.940348,0.002946,0.002659,0.999242,0.791187,0.703825,15.788
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000069,0.000058,0.999942,0.03901,0.001526,0.998474,0.003839,0.000047,0.993493,0.023363,0.00153,0.99847,0.000836,0.000043,0.999957,0.000012,0.000009,0.999997,0.042617,0.000004,0.000003,0.999998,0.00963,0,0.165848,0.193787,0.91714,0.853113,0.044158,0.971002,0.002554,0.001692,0.999414,0.378887,0.707363,15.302
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000045,0.000035,0.999965,0.037786,0.001237,0.998763,0.002559,0.002291,0.995651,0.011049,0.00154,0.99846,0.001241,0.000089,0.999911,0.000014,0.000012,0.999998,0.044598,0.000005,0.000005,0.999998,0.007223,0,0.141745,0.181953,0.930193,0.865338,0.013587,0.953604,0.00245,0.001874,0.99969,0.176429,0.716172,15.784
'FALSE POSITIVE','FALSE POSITIVE',0,0,1,1,1,0.000019,0.000046,0.999954,0.037146,0.004097,0.995903,0.000436,0.004209,0.999258,0.025713,0.003396,0.996604,0.000258,0.000024,0.999976,0.000007,0.000006,0.999998,0.071097,0.000028,0.000027,0.999985,0.005323,0,0.175897,0.220414,0.915437,0.838255,0.061141,0.95029,0.00309,0.002025,0.999294,0.178926,0.71243,15.269
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000039,0.000052,0.999948,0.037937,0.002216,0.997784,0.000913,0.004314,0.998449,0.021488,0.002332,0.997668,0.000539,0.000038,0.999962,0.000012,0.000007,0.999997,0.061057,0.000015,0.00001,0.999993,0.006693,0,0.190706,0.12574,0.9563,0.826218,0.066576,0.962717,0.003486,0.001723,0.999259,0.572681,0.717296,15.416
CONFIRMED,CANDIDATE,0.98,0,0,0,0,0.000028,0.000064,0.999936,0.011517,0.004079,0.995921,0.002242,0.002841,0.99619,0.018387,0.003649,0.996351,0.000236,0.000036,0.999964,0.000008,0.000005,0.999998,0.067819,0.000023,0.000014,0.99999,0.003192,0.142857,0.190706,0.12574,0.9563,0.826218,0.066576,0.962717,0.003486,0.001723,0.999259,0.572681,0.717296,15.416
CONFIRMED,CANDIDATE,0.971,0,0,0,0,0.000061,0.000394,0.999606,0.009088,0.012568,0.987432,0.000248,0.004968,0.999579,0.025591,0.009802,0.990198,0.000141,0.000043,0.999957,0.000006,0.000004,0.999998,0.05293,0.000009,0.000006,0.999996,0.001557,0.285714,0.190706,0.12574,0.9563,0.826218,0.066576,0.962717,0.003486,0.001723,0.999259,0.572681,0.717296,15.416
'FALSE POSITIVE','FALSE POSITIVE',0.480829,0,1,0,0,0.002972,0.000794,0.999206,0.033895,0.00051,0.99949,0.009687,0.000581,0.999548,0.048767,0.000911,0.999089,0.016172,0.000118,0.999882,0.000207,0.000078,0.999978,0.018577,0,0,1,0.109777,0,0.217756,0.116864,0.955165,0.758699,0.009511,0.988401,0.006401,0.001934,0.999449,0.567999,0.069434,12.394
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000165,0.000406,0.999594,0.037737,0.004519,0.995481,0.008888,0.000117,0.988823,0.024576,0.003248,0.996752,0.000556,0.00007,0.99993,0.000014,0.000006,0.999997,0.03449,0.000002,0.000001,0.999999,0.003788,0,0.173253,0.116864,0.955165,0.837502,0.050951,0.98343,0.003129,0.000967,0.99944,0.485293,0.720354,15.377
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000037,0.000081,0.999919,0.037889,0.003833,0.996167,0.007043,0.00007,0.991015,0.015306,0.003772,0.996228,0.000606,0.000102,0.999898,0.000013,0.000024,0.999997,0.060921,0.000015,0.000028,0.999992,0.003114,0,0.202342,0.258876,0.909762,0.847282,0.023098,0.887324,0.003212,0.004865,0.999406,0.821086,0.721464,15.861
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000031,0.000035,0.999965,0.038003,0.002005,0.997995,0.004206,0.001309,0.993999,0.020384,0.002079,0.997921,0.000487,0.000036,0.999964,0.000011,0.000027,0.999998,0.067409,0.000023,0.00005,0.999989,0.006825,0,0.225387,0.224852,0.904086,0.849539,0.021739,0.860812,0.003142,0.006255,0.999406,0.659094,0.808237,15.356
'FALSE POSITIVE','FALSE POSITIVE',0,0,0,1,0,0.00001,0,1,0.037339,0.000417,0.999583,0.008531,0.000491,0.997893,0.010568,0.002391,0.997609,0.001435,0.000047,0.999953,0.000022,0.000047,0.999994,0.097459,0.000096,0.000194,0.999948,0.020001,0,0.230676,0.22929,0.902384,0.849351,0.027174,0.86744,0.003142,0.005621,0.999311,0.723087,0.81058,15.525
'FALSE POSITIVE','FALSE POSITIVE',0,1,0,0,0,0.005157,0.007171,0.992829,0.065479,0.002743,0.997257,0.006954,0.000047,0.999916,0.385304,0.006485,0.993515,0.011737,0.000086,0.999914,0.00007,0.000098,0.999991,0.011679,0,0,1,0.07098,0,0.216018,0.147929,0.937003,0.831108,0.021739,0.90058,0.003803,0.004473,0.999578,0.770343,0.808389,15.207
'FALSE POSITIVE','FALSE POSITIVE',0,0,1,0,0,0.000469,0.000904,0.999096,0.039439,0.003657,0.996343,0.01238,0.080804,0.998871,0.054741,0.005198,0.994802,0.003324,0.000182,0.999818,0.000199,0.000591,0.999929,0.032782,0.000001,0.000004,0.999999,0.009421,0,0.263166,0.272189,0.875142,0.819071,0.048913,0.820215,0.004273,0.010577,0.998708,0.177117,0.818735,15.25
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000293,0.000928,0.999072,0.038687,0.005925,0.994075,0.004643,0.005389,0.995499,0.039975,0.005594,0.994406,0.00047,0.00006,0.99994,0.000014,0.000017,0.999996,0.034422,0.000002,0.000002,0.999999,0.003832,0,0.213071,0.121302,0.958002,0.812864,0.082201,0.917978,0.004034,0.00417,0.998932,0.542769,0.81882,15.172
CONFIRMED,CANDIDATE,0.992,0,0,0,0,0.000315,0.000539,0.999461,0.032905,0.00299,0.99701,0.000446,0.00394,0.999241,0.033055,0.003134,0.996866,0.001436,0.000117,0.999883,0.000019,0.000007,0.999996,0.028275,0.000001,0,1,0.005655,0.142857,0.179071,0.110947,0.952894,0.834681,0.056386,0.976802,0.003216,0.000997,0.99938,0.326813,0.748695,15.841
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000046,0.000058,0.999942,0.037563,0.00204,0.99796,0.001042,0.003846,0.99823,0.018268,0.002109,0.997891,0.000673,0.000063,0.999937,0.000013,0.000005,0.999997,0.054501,0.00001,0.000004,0.999996,0.005202,0.285714,0.179071,0.110947,0.952894,0.834681,0.056386,0.976802,0.003216,0.000997,0.99938,0.326813,0.748695,15.841
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000121,0.000284,0.999716,0.041305,0.004255,0.995745,0.007926,0.001134,0.990711,0.023131,0.003916,0.996084,0.000728,0.000101,0.999899,0.000015,0.000016,0.999996,0.038793,0.000003,0.000003,0.999999,0.003667,0,0.177862,0.242604,0.915437,0.837314,0.0625,0.904722,0.00312,0.00275,0.999294,0.785297,0.755218,15.39
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000249,0.000336,0.999664,0.054427,0.00241,0.99759,0.000208,0.0047,0.999646,0.034264,0.002871,0.997129,0.001171,0.000065,0.999935,0.000016,0.000035,0.999996,0.032851,0.000001,0.000003,0.999999,0.008835,0,0.221005,0.224852,0.913734,0.848787,0.033967,0.875725,0.002998,0.00547,0.999337,0.268237,0.756949,15.082
CONFIRMED,CANDIDATE,0.978,0,0,0,0,0.000704,0.004359,0.995641,0.054232,0.011285,0.988715,0.006012,0.003916,0.993257,0.046365,0.010099,0.989901,0.000423,0.000093,0.999907,0.00001,0.000022,0.999997,0.022811,0,0.000001,1,0.002109,0.142857,0.221005,0.224852,0.913734,0.848787,0.033967,0.875725,0.002998,0.00547,0.999337,0.268237,0.756949,15.082
CANDIDATE,CANDIDATE,1,0,0,0,0,0.000036,0.000006,0.999994,0.038271,0.00013,0.99987,0.008244,0.000187,0.999933,0.015708,0.000371,0.999629,0.006359,0.000051,0.999949,0.000061,0.000091,0.999981,0.073624,0.000032,0.000041,0.999983,0.076921,0,0.230525,0.113905,0.9563,0.810984,0.074728,0.908865,0.004234,0.005228,0.998881,0.56312,0.771019,15.263
'FALSE POSITIVE','FALSE POSITIVE',0,0,1,1,0,0.000019,0.000035,0.999965,0.037115,0.002866,0.997134,0.010079,0.046376,0.999005,0.02405,0.004416,0.995584,0.000558,0.000054,0.999946,0.000032,0.000076,0.99999,0.081751,0.000048,0.000114,0.99997,0.005334,0,0.218285,0.269231,0.896708,0.831484,0.061821,0.859983,0.003486,0.00689,0.999096,0.826363,0.774175,15.54
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000033,0.000104,0.999896,0.037598,0.005257,0.994743,0.003095,0.0018,0.99474,0.026603,0.004624,0.995376,0.000298,0.000045,0.999955,0.00001,0.00003,0.999997,0.075673,0.000036,0.000101,0.999979,0.003258,0,0.257952,0.279586,0.880817,0.834869,0.035326,0.827672,0.003742,0.009066,0.999139,0.850745,0.775081,15.395
'FALSE POSITIVE','FALSE POSITIVE',0,0,1,0,0,0.000149,0.000035,0.999965,0.043555,0.000422,0.999578,0.007172,0.000117,0.999663,0.037544,0.000886,0.999114,0.007633,0.000071,0.999929,0.000062,0.000181,0.999978,0.048149,0.000006,0.000017,0.999996,0.0567,0,0.257877,0.248521,0.880817,0.817002,0.061141,0.826015,0.004151,0.010154,0.99876,0.514046,0.784108,15.536
CONFIRMED,CANDIDATE,1,0,0,0,0,0.00004,0.000017,0.999983,0.00934,0.000807,0.999193,0.007807,0.000058,0.990475,0.020906,0.001188,0.998812,0.00039,0.00001,0.99999,0.000014,0.00002,0.999995,0.072941,0.000031,0.000038,0.999982,0.01841,0,0.235587,0.153846,0.934733,0.807222,0.089674,0.910522,0.004256,0.004744,0.998777,0.367413,0.615463,12.791
CONFIRMED,CANDIDATE,0.998,0,0,0,0,0.000317,0.000441,0.999559,0.065396,0.00248,0.99752,0.003522,0.000468,0.994016,0.076158,0.004356,0.995644,0.001812,0.000058,0.999942,0.000027,0.000073,0.999988,0.033534,0.000002,0.000004,0.999999,0.015583,0,0.212089,0.266272,0.906924,0.812488,0.10394,0.84507,0.004077,0.008975,0.998424,0.718049,0.789406,15.4
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000062,0.000087,0.999913,0.037808,0.002322,0.997678,0.000228,0.004945,0.999612,0.015882,0.002564,0.997436,0.000676,0.000073,0.999927,0.000012,0.000025,0.999997,0.052247,0.000008,0.000016,0.999996,0.004793,0,0.221458,0.224852,0.913734,0.852925,0.024457,0.880696,0.00295,0.005107,0.999371,0.258209,0.805906,15.317
CONFIRMED,CANDIDATE,1,0,0,0,0,0.00003,0.000017,0.999983,0.036417,0.001062,0.998938,0.005922,0.002747,0.993813,0.022546,0.001792,0.998208,0.000965,0.000034,0.999966,0.000022,0.000067,0.999993,0.083185,0.000052,0.00015,0.999966,0.014203,0,0.265433,0.255917,0.864359,0.821892,0.038043,0.826015,0.004326,0.010819,0.998898,0.552562,0.804423,15.506
CONFIRMED,CANDIDATE,1,0,0,0,0,0.00002,0,1,0.037316,0.000067,0.999933,0.001042,0.003086,0.997994,0.017719,0.00033,0.99967,0.010908,0.000028,0.999972,0.000061,0.000075,0.999989,0.081546,0.000048,0.000051,0.999983,0.155367,0,0.216925,0.109467,0.952894,0.828475,0.042799,0.910522,0.003681,0.003838,0.999414,0.784833,0.802602,15.052
'FALSE POSITIVE','FALSE POSITIVE',0,0,1,1,0,0.000259,0.000359,0.999641,0.048935,0.002392,0.997608,0.008055,0.00007,0.999848,0.104767,0.005149,0.994851,0.005517,0.000114,0.999886,0.000036,0.000042,0.999992,0.02766,0.000001,0.000001,1,0.026075,0,0.179751,0.201183,0.914302,0.861576,0.02038,0.942005,0.002594,0.002599,0.999501,0.197531,0.811196,15.716
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000027,0.000052,0.999948,0.036871,0.003341,0.996659,0.001498,0.003554,0.997454,0.018801,0.003351,0.996649,0.000277,0.000036,0.999964,0.000009,0.000025,0.999997,0.076629,0.000037,0.000095,0.999978,0.003932,0,0.243219,0.232249,0.891033,0.840888,0.03125,0.837614,0.003516,0.007918,0.999156,0.538214,0.890995,15.242
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000032,0.000035,0.999965,0.037351,0.001935,0.998065,0.004018,0.000479,0.993173,0.02237,0.002094,0.997906,0.000656,0.000039,0.999961,0.000016,0.000022,0.999997,0.073692,0.000032,0.000037,0.999988,0.007852,0,0.230676,0.113905,0.9563,0.823961,0.042799,0.903065,0.003943,0.004473,0.99932,0.72999,0.922946,15.367
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000086,0.000139,0.999861,0.009862,0.0032,0.9968,0.009037,0.000105,0.988941,0.018583,0.003614,0.996386,0.000664,0.000076,0.999924,0.000019,0.000026,0.999996,0.05334,0.000009,0.000011,0.999997,0.004186,0.142857,0.230676,0.113905,0.9563,0.823961,0.042799,0.903065,0.003943,0.004473,0.99932,0.72999,0.922946,15.367
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000201,0.00033,0.99967,0.041079,0.003077,0.996923,0.005972,0.002923,0.993324,0.025425,0.003183,0.996817,0.00098,0.000093,0.999907,0.000015,0.000019,0.999997,0.03169,0.000001,0.000002,0.999999,0.005323,0,0.186475,0.227811,0.912599,0.85537,0.02038,0.930406,0.002846,0.003113,0.999526,0.436573,0.931105,15.234
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000103,0.000093,0.999907,0.011659,0.001666,0.998334,0.008591,0.000175,0.989531,0.023842,0.002421,0.997579,0.000332,0.000016,0.999984,0.000013,0.000018,0.999997,0.051905,0.000008,0.000011,0.999996,0.009763,0,0.241254,0.155325,0.933598,0.819823,0.061141,0.908865,0.00393,0.004654,0.999113,0.96082,0.492439,12.882
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000053,0.000081,0.999919,0.013675,0.002779,0.997221,0.008908,0.000152,0.988216,0.021297,0.001901,0.998099,0.000125,0.000011,0.999989,0.000009,0.000012,0.999997,0.066384,0.000021,0.000026,0.999987,0.005202,0.142857,0.235587,0.153846,0.934733,0.807222,0.089674,0.910522,0.004256,0.004744,0.998777,0.367413,0.615463,12.791
'FALSE POSITIVE','FALSE POSITIVE',0.014,0,1,0,0,0.000055,0.000006,0.999994,0.03658,0.000112,0.999888,0.001359,0.004045,0.996224,0.016289,0.000639,0.999361,0.01586,0.000097,0.999903,0.000075,0.000219,0.99998,0.064335,0.000019,0.000054,0.999989,0.092284,0,0.260446,0.27071,0.885925,0.831672,0.047554,0.826015,0.003686,0.009096,0.999139,0.417692,0.834867,15.27
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000124,0.000301,0.999699,0.038618,0.004343,0.995657,0.00001,0.005109,0.999983,0.021467,0.00395,0.99605,0.000731,0.000108,0.999892,0.00001,0.000004,0.999999,0.027865,0.000001,0,1,0.003192,0.142857,0.110691,0.121302,0.953462,0.867783,0.014946,0.981773,0.002202,0.000816,0.99975,0.314858,0.850224,15.095
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000059,0.000087,0.999913,0.041316,0.002568,0.997432,0.000407,0.004781,0.999309,0.014647,0.002559,0.997441,0.000847,0.000097,0.999903,0.00001,0.000004,0.999999,0.036061,0.000002,0.000001,0.999999,0.004274,0,0.110691,0.121302,0.953462,0.867783,0.014946,0.981773,0.002202,0.000816,0.99975,0.314858,0.850224,15.095
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000278,0.001049,0.998951,0.022992,0.006874,0.993126,0.000278,0.005109,0.999528,0.028558,0.006238,0.993762,0.000728,0.000137,0.999863,0.00001,0.000004,0.999999,0.020967,0,0,1,0.002397,0.285714,0.110691,0.121302,0.953462,0.867783,0.014946,0.981773,0.002202,0.000816,0.99975,0.314858,0.850224,15.095
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000027,0.000006,0.999994,0.037927,0.000327,0.999673,0.005535,0.00152,0.997488,0.018998,0.001733,0.998267,0.003391,0.000048,0.999952,0.00003,0.000056,0.999993,0.06816,0.000024,0.000045,0.999988,0.038124,0,0.21428,0.245562,0.915437,0.851984,0.023098,0.887324,0.003046,0.004956,0.999397,0.499954,0.855197,15.523
CANDIDATE,CANDIDATE,0.999,0,0,0,0,0.000309,0.000661,0.999339,0.039237,0.003886,0.996114,0.009037,0.065081,0.998011,0.023901,0.006931,0.993069,0.004059,0.000592,0.999408,0.000037,0.000052,0.999988,0.030187,0.000001,0.000002,0.999999,0.004075,0,0.210427,0.264793,0.907491,0.838819,0.078804,0.913007,0.002924,0.003505,0.999182,0.661428,0.856854,15.487
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000015,0.000017,0.999983,0.037103,0.001566,0.998434,0.009077,0.000105,0.98938,0.007709,0.001901,0.998099,0.000533,0.000066,0.999934,0.00001,0.000005,0.999998,0.054432,0.00001,0.000006,0.999996,0.004296,0,0.112429,0.121302,0.948354,0.874741,0.016304,0.97763,0.00198,0.000907,0.999716,0.243437,0.86127,15.135
'FALSE POSITIVE','FALSE POSITIVE',0,0,1,0,0,0.000078,0.000017,0.999983,0.041924,0.000318,0.999682,0.003214,0.000713,0.998736,0.046586,0.000718,0.999282,0.0094,0.000058,0.999942,0.000056,0.000135,0.999975,0.055184,0.00001,0.000025,0.999992,0.0823,0,0.233094,0.255917,0.901816,0.817378,0.122283,0.835957,0.003547,0.007283,0.998622,0.429065,0.867056,15.562
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000016,0.000012,0.999988,0.037904,0.001142,0.998858,0.002778,0.002209,0.99528,0.014053,0.001342,0.998658,0.00063,0.000035,0.999965,0.000011,0.000008,0.999999,0.07137,0.000028,0.000019,0.999993,0.0091,0,0.177106,0.116864,0.955165,0.85537,0.008152,0.946976,0.002855,0.001662,0.999759,0.639316,0.866381,15.334
CANDIDATE,CANDIDATE,0.993,0,0,0,0,0.000054,0.000093,0.999907,0.012751,0.003499,0.996501,0.011884,0.582768,0.995651,0.003654,0.008465,0.991535,0.000361,0.000113,0.999887,0.000097,0.000065,0.999991,0.048422,0.000006,0.000004,0.999998,0.001513,0.142857,0.177106,0.116864,0.955165,0.85537,0.008152,0.946976,0.002855,0.001662,0.999759,0.639316,0.866381,15.334
CANDIDATE,CANDIDATE,0.871,0,0,0,0,0.000025,0.000272,0.999728,0.008984,0.019317,0.980683,0.00619,0.000433,0.991976,0.022247,0.020149,0.979851,0.000015,0.000009,0.999991,0.000002,0.000004,0.999999,0.085166,0.000056,0.000069,0.999967,0.000961,0.285714,0.235587,0.153846,0.934733,0.807222,0.089674,0.910522,0.004256,0.004744,0.998777,0.367413,0.615463,12.791
CONFIRMED,CANDIDATE,1,0,0,0,0,0.000087,0.000081,0.999919,0.044289,0.001606,0.998394,0.006736,0.002186,0.992077,0.017848,0.002574,0.997426,0.001819,0.000119,0.999881,0.000013,0.00001,0.999996,0.025338,0.000001,0,1,0.007841,0,0.077597,0.107988,0.948354,0.892044,0.033967,0.962717,0.001584,0.001118,0.999561,0.748546,0.869989,15.937
